feature_304,feature_138,feature_833,feature_231,feature_693,feature_160,feature_409,feature_31,feature_420,feature_256,feature_5,feature_812,feature_863,feature_927,feature_2,feature_803,feature_12,feature_758,feature_145,feature_381,feature_898,feature_125,feature_233,feature_18,feature_97,feature_924,class
-2.8665507,-3.8195333,-1.879868,-0.25090939,2.9953718,-2.4442487,-3.308466,-3.9181542,3.0010242,-2.241396,-1.6488391,5.8707137,0.73820758,-3.9238935,0.43491894,-1.6632454,-2.7020402,-0.63280159,-2.3291287,-1.7731049,-0.3930603,-1.5272013,-0.12652704,0.4986012,-0.60821968,-1.3062654,FML
-2.7849252,-3.9628408,-1.8073294,-0.20894881,2.8064814,-2.4611444,-3.4027638,-4.413888,2.968261,-2.2785347,-1.6750189,5.767652,0.80292046,-4.151073,0.35949665,-1.9784712,-3.1778831,-0.29544145,-2.0232882,-1.5681775,-0.77241075,-1.0911372,-0.19833136,0.10271865,-0.86498505,-1.0096718,FML
-2.9123862,-3.9157906,-1.5419161,-0.016848311,2.8487756,-2.5696993,-3.3792057,-4.1043181,2.7044189,-2.0103033,-1.5584706,5.4250784,0.69190407,-3.9922009,0.57829165,-1.770259,-3.0289743,-0.5024488,-1.994007,-1.3412366,-0.57914281,-1.2004933,0.13524173,0.37296447,-0.49667537,-1.3286541,FML
-2.9980459,-3.8450429,-1.6746041,-0.14830776,3.0349393,-2.4209585,-3.2094996,-4.0752554,2.9910648,-2.1650324,-1.3316423,5.4459405,0.57867783,-3.8132846,0.31257051,-1.777035,-2.8782375,-0.6084764,-2.3271244,-1.7170179,-0.47433764,-1.0460173,-0.10338418,0.38477886,-0.72525543,-1.0526515,FML
-2.8134956,-3.7297752,-1.942446,0.15845662,2.7023566,-2.7209461,-3.1214266,-3.9228561,2.8524516,-2.3111737,-1.9830426,6.0302777,0.89952898,-4.0863128,0.15961842,-1.782239,-2.8765302,-0.25749046,-1.9565532,-1.5952294,-0.7014482,-1.573837,0.10227011,0.31797385,-0.83661991,-1.1755949,FML
-2.8581111,-3.8320055,-1.6766011,-0.18377799,2.7814467,-2.4805508,-3.3810275,-4.2072754,2.6394293,-2.1982441,-2.0116181,6.0315747,0.6127727,-3.8507693,0.23773222,-2.0025988,-3.0448234,-0.42951676,-2.1137443,-1.4291477,-0.54329801,-1.1961004,-0.030877706,0.15829659,-0.76583987,-1.1381122,FML
-2.7412064,-3.6512585,-1.8010416,0.1695984,2.6928005,-2.5723169,-3.0131221,-4.0735197,2.7930067,-2.1972771,-1.5903664,6.1865721,0.78914183,-3.7945809,0.017507024,-1.6502622,-2.9341686,-0.31803122,-2.076772,-1.5699322,-0.47336012,-1.5910144,0.1608942,0.12026949,-0.66359431,-1.2729975,FML
-2.6644638,-3.5791221,-1.7985642,-0.38271195,2.7975729,-2.4772079,-3.3293719,-3.9813154,2.800168,-2.1588221,-1.5952139,5.5059242,0.61461329,-3.9621344,0.22820289,-1.7319446,-2.8098357,-0.53251725,-2.2321877,-1.3881023,-0.54326087,-1.0794812,-0.078891143,0.45307702,-0.73235983,-1.1395804,FML
-2.7440858,-3.8113346,-1.5075425,-0.50188816,2.7428219,-2.0526788,-3.5266469,-3.8808572,2.6516392,-2.0382111,-1.5346992,5.3111954,0.51319981,-3.5530579,0.24316886,-1.7617928,-2.6709919,-0.55780828,-2.4533091,-1.6165502,-0.3425405,-1.2272549,-0.16832671,0.51616853,-0.76081795,-1.1264564,FML
-2.957674,-4.0678596,-1.9437596,0.16308253,2.9686799,-2.7329061,-3.2331097,-4.1855488,2.875839,-2.1310809,-1.9222673,5.775846,0.82493192,-4.0644922,0.35617456,-1.7549491,-3.0898149,-0.43074098,-1.9573309,-1.6269662,-0.58137286,-1.3975394,0.13699004,0.29664087,-0.67299449,-1.2320974,FML
