feature_430,feature_355,feature_467,feature_933,feature_283,feature_531,feature_592,feature_85,feature_624,feature_868,feature_24,feature_607,feature_399,feature_826,feature_1,feature_858,feature_2,feature_158,feature_415,class
1.8313702,-0.49466613,-0.42320362,-0.62519294,0.44389707,6.0344481,1.235624,0.038363975,1.662979,-1.1729987,-1.6449411,4.4873557,2.2915637,-1.3247868,-3.0828249,0.72876906,0.90281528,0.73376971,-1.9555564,FML
1.9137464,-0.53272521,-0.41414532,-0.61559033,0.62625223,5.8523455,0.65475649,0.23929279,1.6981174,-1.218845,-1.7756042,4.3780193,2.3021982,-1.3459225,-2.7502816,0.35726792,1.0202802,0.84279829,-1.8348078,FML
2.0134706,-0.45899364,-0.34042591,-0.68264985,0.29200813,6.5010638,1.5192971,-0.41717634,2.0403426,-1.1383799,-1.5496086,4.5017581,2.2877507,-1.0377997,-3.1192918,0.4427793,0.7620194,0.42161328,-1.6601701,FML
1.9027063,-0.52643484,-0.58133191,-0.62268543,0.62092358,6.2698112,1.3292094,-0.15342474,1.8569025,-1.2785147,-1.5309404,4.8088145,2.4890852,-1.4230375,-3.1399753,0.33519319,0.89505345,0.44754305,-1.7304684,FML
2.1003664,-0.70092875,-0.48341683,-0.69256413,0.63053918,5.9813805,1.1270183,0.053981837,1.614856,-1.1250778,-1.490273,4.9658523,2.1506162,-1.533402,-2.9166555,0.25634718,0.99748033,0.84873319,-1.868118,FML
1.8971741,-0.49846035,-0.63500506,-0.65347445,0.48328713,6.1596966,1.3555752,-0.014566008,1.5467672,-1.016793,-1.3286397,4.7167463,2.4341288,-1.2151854,-3.1260531,0.29698318,0.79182816,0.60938209,-2.0003936,FML
2.1570294,-0.55821151,-0.5711146,-0.77028638,0.54011488,6.0162821,1.121336,-0.14917928,1.7518815,-1.0346336,-1.7584736,4.5371675,2.2706218,-1.2027998,-2.9773135,0.61658859,0.80936801,0.817792,-1.6630992,FML
2.2627108,-0.69155455,-0.68725735,-0.80103159,0.555718,5.7549367,1.1023264,0.12088751,1.6846141,-1.2582905,-1.6711785,4.5779243,2.1849916,-1.2713834,-2.6954226,0.55943972,1.0469139,0.96692288,-1.9298221,FML
1.7722989,-0.3400408,-0.81733721,-0.7402665,0.42439264,6.2905087,1.3137025,0.091858305,1.9140726,-1.1408677,-1.4080275,4.75279,2.3191748,-1.2910148,-3.0465884,0.42816857,0.81886667,0.28338709,-2.1752021,FML
1.8765602,-0.40576783,-0.71342486,-0.84221649,0.47363213,6.0268159,1.2116275,0.48818374,1.8965449,-1.0664266,-1.8217489,4.8882895,2.1465621,-1.5607585,-2.939003,0.36128375,1.0551652,0.7799018,-1.8688345,FML
1.7767252,-0.35897902,-0.55721557,-0.96370965,0.68646008,5.9624763,0.67386651,0.048385169,1.7935411,-1.100423,-1.8084747,4.730237,2.2846196,-1.4901364,-2.8048694,0.48694846,0.99479657,0.76321805,-2.0328462,FML
1.9617529,-0.52191567,-0.40859148,-0.72754335,0.39001754,6.4356771,1.0769188,-0.39525339,2.1195374,-1.1114408,-1.590531,4.7347803,2.3351781,-1.2407119,-3.2303884,0.3210896,0.8881247,0.43385848,-1.9517123,FML
1.6224681,-0.27924982,-0.59961146,-0.74605697,0.34586167,6.4664254,0.92962861,-0.25700095,1.8932992,-1.1887658,-1.5351503,4.3554091,2.1117933,-1.2834409,-3.0669248,0.54595268,0.79007977,0.57949066,-1.6475593,FML
1.93808,-0.3875258,-0.58445442,-0.65394962,0.65467566,6.0925512,0.73946029,0.46206817,1.7510904,-1.3440684,-1.5747559,4.6155109,2.3216722,-1.4402606,-3.1582808,0.20042878,0.91102618,0.63649929,-1.9388268,FML
2.1898782,-0.67859733,-0.63508636,-0.81916434,0.49326393,6.2282491,1.0154624,-0.23615773,1.7995201,-1.0747467,-1.5400116,4.9636898,2.2602961,-1.472374,-2.8724332,0.30339375,1.0566103,0.77007419,-1.8763548,FML
2.235745,-0.76772004,-0.39532897,-0.71478748,0.63928729,5.9086814,1.2916718,0.031229239,1.8129331,-1.2704191,-1.6750282,4.9396505,2.3569341,-1.5916082,-2.9098041,0.26976719,1.067484,0.72749501,-1.9803306,FML
1.914167,-0.78299278,-0.60563922,-0.71909064,0.5218606,5.8443499,1.1694547,0.49660346,1.8864378,-1.1866188,-1.8651628,4.6640682,2.0657303,-1.6308348,-2.8595021,0.23200884,1.0685849,0.75669676,-1.9863448,FML
1.9528607,-0.42721874,-0.83483303,-0.62791884,0.3887983,6.1461091,1.3764141,0.20952201,1.5911249,-1.3417212,-1.4642799,4.5426598,2.27212,-1.3587158,-2.9860067,0.48304719,0.88250625,0.6883539,-1.9167287,FML
1.7071658,-0.36403647,-0.41506067,-0.63119036,0.43585676,6.3589511,0.84103578,-0.008284319,1.7778429,-1.308733,-1.380147,4.4714127,2.4692888,-1.2561263,-3.2298863,0.51916069,0.70926642,0.44366589,-1.9360002,FML
1.7567977,-0.49489653,-0.48593208,-0.75424302,0.44283086,6.2807016,1.612547,-0.33577508,2.0683215,-1.0051171,-1.4020786,4.5317488,2.1830554,-1.1730658,-3.0060318,0.53961414,0.73308575,0.36087948,-1.8929523,FML
1.839009,-0.29429531,-0.51003236,-0.77940142,0.29583272,6.3960533,1.1660444,0.066838957,2.1391811,-1.0639728,-1.5744557,4.2349811,2.1315439,-1.186281,-3.0959978,0.62350595,0.66545129,0.52736109,-1.845412,FML
2.0052056,-0.47913045,-0.55712634,-0.67425019,0.40701354,6.0463161,1.2716212,-0.58482808,1.6665037,-1.0754336,-1.6949426,4.6054912,2.2358794,-1.1971244,-3.1098335,0.71877182,0.70885086,0.67616045,-1.8267668,FML
2.4713666,-0.62384683,-0.59643441,-0.77156132,0.46373841,6.3661242,0.88882607,-0.12802805,1.591567,-1.2683125,-1.4695365,4.7881103,2.3700678,-1.3919436,-3.0464616,0.41498417,0.89871669,0.80562025,-1.7661626,FML
2.0337372,-0.75719512,-0.82203883,-0.62298524,0.64394188,6.031682,1.3936887,0.36763325,1.9101443,-1.1854402,-1.5663795,5.0244021,2.440768,-1.598896,-2.8448913,-0.086830556,1.1329628,0.84987235,-1.9027178,FML
2.3254955,-0.8253094,-0.59886414,-1.0156822,0.83495295,5.7002568,0.71199572,-0.41703054,1.5150378,-1.0248207,-1.7696012,4.8339949,2.0937803,-1.6160983,-2.4429185,0.39509711,1.1827142,1.0178555,-1.8523585,FML
1.765,-0.65768009,-0.85113126,-0.89612865,0.70435899,5.668921,1.1207118,-0.22930089,1.7565027,-0.9895677,-1.7719761,4.5523334,2.2073729,-1.3481535,-2.3428366,0.69546598,1.1782004,0.83322108,-1.7070984,FML
1.9719266,-0.59986252,-0.79627138,-0.48169589,0.50782919,5.9384017,1.1042472,0.6673733,1.7178216,-1.2359611,-1.5204523,4.8162088,2.2176018,-1.5479417,-3.0102262,-0.14229754,0.9642247,0.66073585,-1.9113879,FML
1.8708768,-0.52296823,-0.59671795,-0.7773276,0.54329872,6.1150618,0.99110079,-0.25491458,1.6987389,-1.3250351,-1.3349186,4.8591356,2.4938936,-1.4288882,-2.880965,0.50177914,1.0094019,0.53079545,-2.0123382,FML
1.7420541,-0.42132938,-0.41738775,-0.63213623,0.17671078,6.7049685,1.856854,-0.7727983,2.1804104,-0.79653567,-1.4016279,4.0768275,2.4812014,-0.81579459,-3.2298617,0.68623292,0.45759284,0.21681792,-1.4926883,FML
2.2729101,-0.80352145,-0.66321182,-0.86506885,0.65912622,5.7386289,1.1321003,-0.12397552,1.6203474,-1.4161752,-1.7681357,4.7582984,2.4862678,-1.4372247,-2.6659415,0.28938305,1.0564554,0.89573038,-1.6599661,FML
