feature_929,feature_648,feature_533,feature_374,feature_146,feature_162,feature_292,feature_2,feature_125,feature_105,feature_36,feature_239,feature_684,feature_771,feature_3,feature_361,feature_505,feature_905,feature_385,feature_395,feature_822,feature_119,feature_52,feature_100,feature_71,feature_382,feature_164,feature_579,feature_195,feature_59,feature_857,class
-2.3228264,0.14065841,-0.36687666,-0.73461258,-2.2196136,-1.7119815,-0.9439404,0.64104402,-2.8071899,-1.5514733,-3.8027039,-2.0824013,1.4988201,-1.6573691,-1.5225339,-1.7307963,0.65837246,4.8421969,-2.2095795,-3.5281193,-0.8450399,-3.0486648,-2.4253256,-1.7624711,-1.1621819,-3.0130394,-0.88659382,3.1611071,-1.2743151,-1.3925724,-0.81657082,FML
-2.4814873,-0.20658533,-0.00075227,-0.83882415,-1.9883215,-1.7169647,-0.76376629,0.47232857,-3.0653412,-1.4878082,-3.8005993,-1.8113036,1.6535738,-1.6461003,-1.368161,-1.4896272,0.43074146,4.8042693,-2.0815721,-3.6709037,-0.88863456,-3.0971296,-2.0990086,-1.4555331,-1.2576673,-2.8455226,-0.74443758,2.79848,-1.1775846,-1.3630843,-1.0184681,FML
-2.2448521,0.073688298,-0.23836291,-0.77014911,-2.2295151,-1.4714906,-0.70661831,0.34976566,-3.0676095,-1.7283969,-3.8701248,-1.8336744,1.7133503,-1.7766583,-1.2575955,-1.6420437,0.52832842,4.7534094,-2.0787067,-3.7759883,-0.79631799,-2.9910948,-2.3521066,-1.6231544,-1.4046268,-2.9559886,-0.78811932,2.8082714,-1.384176,-1.5475419,-0.69437033,FML
-2.3061464,-0.020886302,-0.16683012,-0.90285194,-2.2904551,-1.6913149,-0.76382768,0.25800011,-3.2567508,-1.7675058,-3.9286728,-1.9703164,1.569854,-1.8476139,-1.2946689,-1.5543729,0.58285284,4.7007604,-2.1104443,-3.7610314,-0.70921493,-3.1782446,-1.888268,-1.4698297,-1.4806501,-3.0149143,-0.80914569,2.4709711,-1.2726293,-1.5754223,-0.65294659,FML
-2.5675595,-0.33505517,-0.4399153,-0.94103301,-2.137054,-1.4704118,-1.1256132,0.01081575,-3.3001907,-1.6527554,-3.9519093,-1.8963652,1.3816429,-1.6876395,-1.3868411,-1.8564565,0.55803752,4.7680101,-2.1530166,-3.412534,-1.0014458,-3.3371372,-2.3159623,-1.5346571,-1.7594203,-2.9808586,-0.99481082,2.2848659,-0.93102306,-1.5489395,-0.58468306,FML
-2.3143408,-0.14389065,-0.18605936,-0.72297299,-2.1638551,-1.5785704,-1.0347042,0.02155314,-3.2735424,-2.0181928,-4.0658479,-1.7237899,1.8689003,-1.908294,-1.2520154,-1.8610002,0.38562763,4.7015572,-2.1356235,-3.7335632,-0.68263459,-3.0631533,-2.5182641,-1.5872359,-1.755645,-2.9074397,-1.0522565,2.4869766,-1.0799032,-1.8152285,-0.66459966,FML
-2.2918839,-0.1503156,0.019500613,-0.94955266,-2.0696301,-1.7419851,-0.92617476,0.73346364,-3.0190341,-1.8125883,-3.7875464,-1.838774,1.5252013,-1.6444385,-1.3774661,-1.4980637,0.69406724,4.7840018,-2.109715,-3.9070625,-0.62497586,-3.1531773,-2.1667221,-1.5419306,-1.2920065,-2.9377019,-0.82303202,2.995584,-1.4226124,-1.4459207,-0.98206902,FML
-2.6121373,-0.56748831,-0.2008214,-0.92750812,-2.0169072,-1.5461833,-0.86531377,-0.055426855,-3.4616122,-1.6931829,-3.9435418,-1.846976,1.6865551,-1.7518904,-1.5456246,-1.630566,0.41043016,4.6710978,-1.9870741,-3.5799329,-0.77391434,-3.4367549,-1.9117076,-1.3889668,-1.6991941,-2.8306866,-0.93912137,2.098341,-0.88704455,-1.5277169,-0.7234866,FML
-2.3719795,-0.10897037,-0.11661863,-0.76827621,-2.2512321,-1.5467582,-0.79936868,0.47581604,-2.8771024,-1.5648036,-3.8061278,-1.7811635,1.5515991,-1.4930348,-1.3325392,-1.6481178,0.48274118,4.9084139,-2.3375168,-3.6424165,-0.90134847,-2.9748983,-2.399689,-1.7761819,-1.4452672,-3.0639906,-0.82537818,3.108933,-1.2022591,-1.391902,-0.77403188,FML
-2.2704084,-0.17652038,-0.26097727,-0.73459876,-2.0363309,-1.7767124,-0.73230141,0.28686714,-3.2620859,-1.7581209,-4.0279751,-1.924274,1.6814392,-1.9851846,-1.4795852,-1.5583464,0.41988778,4.5457907,-1.9240282,-3.8151283,-0.64651525,-3.1230125,-2.2133756,-1.4409842,-1.5757893,-2.8499157,-0.9469465,2.3869975,-1.2933999,-1.6264188,-0.52509427,FML
